id,tag,sentence
1,0,I’m no expert but  
2,1,This is what I see
3,0,It’s just my opinion  
4,1,It’s my opinion 
5,0,Just checking in  
6,1,Checking in
7,0,Just seeing how you feel about this 
8,1, How do you feel about this
9,0,I just think 
10,1, I think
11,0,Does this make sense 
12,1,Tell me your thoughts
13,0,Do you get what I’m saying 
14,1, Is this clear
15,0,Do you see what I’m saying  
16,1,Is this clear
17,0,Am I making sense  
18,1,Is this clear
19,0,I actually disagree 
20,1, I disagree
21,0,Correct me if I’m wrong  
21,1,What is your opinion
22,0,I think I can do that   
23,1,I can do that
24,0,I’m hopeless at  
25,1,I’m learning how to
26,0,I will try  
27,1, I will do
28,0,I’m nervous  
29,1, I’m excited
30,0,I hope I can    
31,1,I’m confident I will 
32,0,It’s really hard   
33,1, It’s a welcome challenge
34,0,I’m not good at 
35,1, I have yet to learn how
36,0,Can you please update  
37,1, Please update
38,0,I think this is unclear 
39,1, This is unclear
40,0,If you don’t mind  
41,1, Let’s talk about
42,0,I just wanted to  
43,1,I want to
44,0,I hope it is ok to start 
45,1, Let’s start
46,0,I may be wrong but  
47,1,Let’s brainstorm
48,0,If it’s ok with you  
49,1,Let’s explore
50,0,Maybe it’s only me but 
51,1, How do you see it?
52,0,I don’t want to bother you but  
53,1,Do you have time
54,0,I’m sorry for making you wait  
55,1,Thank you for waiting
56,0,My apologies  
57,1,Thank you for your patience
58,0,Sorry to intrude  
59,1,I would like to add to this
60,0,Sorry to bother you 
61,1,Thank you for taking the time
62,0,My bad 
63,1, I stand corrected
64,0,"Sorry, what was that?   "
65,1,Please repeat what you said
66,0,Sorry about the noise in the background 
67,1,Thank you for putting up with 
68,0,Sorry if you didn’t see it 
69,1,I missed that
70,0,Sorry I’m eating on video here 
71,1,Sorry for the inconvinience
72,0,Sorry about the dog in the background 
73,1,Sorry if I look tired 
74,0,"Sorry, I didn’t know "
75,1, Thank you for the information
76,0,"I'm so sorry, I do apologize."
77,0,"Sorry, I don't mean to butt in."
78,0,"I'm sorry, I've forgotten your name."
79,0,"Sorry, I can't play tennis with u tomorrow."
80,0,I am sorry I must disapprove of your action.
81,0,I'm sorry to be late again.
82,0,"Sorry, I didn't mean to frighten you."
83,0,"Sorry, I do not love you."
84,0,I'm sorry I'm late: My car had a puncture.
85,0, I'm sorry I can't assist you.
86,0,I'm sorry I'm a bit early.
87,0,"I'm sorry, she's tied up at the moment."
88,0,"Sorry, I'm a stranger here, too."
89,0,"I'm sorry, but I'm busy right now."
90,0,I am sorry for what I have done.
91,0,I'm sorry you had a wasted journey.
92,0,"Sorry, I must have dialled the wrong number."
93,0,Would you please do this for me?
94,0,Please could I leave early today?
95,0,Please wait for a minute
96,0,"Will you call your dog off, please?"
97,0,"Between us, please always remember me."
98,0,"Could you wait for me, please?"
99,0,I must apologise for my outrageous behaviour.
100,0,I apologise for any embarrassment this may have caused.
101,0,I must apologise that if I offended you I didn't mean to.
102,0,I apologise for any inconvenience caused.
103,0, I apologise if I did not make myself clear.
104,0, I apologise for the delay in arriving.
105,0,I apologise for the delay in replying to you.
106,0, Would it bother you if I smoked?
107,0, I don't want to bother you.
108,0,"I hate to bother you, but can I ask you a question?"
109,0, Will it bother you if I turn the television on?
110,0,"I'm sorry to bother you, but could you tell me the way to the station?"
111,0,Please repeat what you said.
112,0," Please repeat what you said, I didn't quite catch on."
113,0,"Can you  please repeat the phone number slowly, sir."
114,0,I'm embarrassed of myself.
115,0,"When I began to sing, he laughed and made me embarrassed."
116,0, I am embarrassed and I apologise for what I did.
117,0,I'm embarrassed of myself.
118,0,"When I began to sing, he laughed and made me embarrassed."
119,0, I am embarrassed and I apologise for what I did.
120,0,I am sorry for not answering your letter sooner.
121,0,I'm sorry. We are quite full tonight.
122,0,Sorry for the short notice.
123,0, I’m not sure but 
