id,sentence
1,"A backup seat and a backup computer have been assigned to you. Please read this communication in detail. Purpose: Net Works has developed a backup plan for possible work stoppages after moving to the new building. A wider business continuity plan will be rolled out next year. Location: Large areas of the 30th and 31st floors of the current building, Enron Center North, will be set aside for recovery purposes. Your name has been put on the list and you will be notified once the seat assignments are finalized. Locations will also be posted at the entryways on the 30th and 31st floors. Timing. Through November, backup seats assignments will be announced as each trading group moves to the new building. The backup seats will be available at least to January 1st. Testing. Test times to try the backup PC and to familiarize yourself with your backup location will be announced by the IT team as the locations are finished. Telephones. Only regular phones will be available. For those with speed dial phones, the IT team will download the numbers and leave them on a piece of paper at your seat assignment. Because the numbers change frequently, we ask that you rely on keeping track of the numbers yourself and use the number lists as a last resort. Other supplies. The IT team is not responsible for non-technical or special needs. If you rely on hard copy forms, address books, etc, you will need to be sure to leave appropriate supplies when you test the computer, or bring supplies along if you are asked to move to your backup seat. Limited Access. The backup floor is not meant as a backup day-to-day work environment. To keep the equipment functioning and secure, we plan to limit access except for test times and if we need to invoke the plan because of a work stoppage. Escalation Procedures. The plan will be as follows: I. During regular business hours A. Announcement. You will be notified via the PA system if you need to move to the backup location. -OR- B. No Announcement. If an obvious problem like a fire or power shutdown occurs, for example, all personnel with a seat assignment will be expected to make their way to their backup seat without notification. II. After hours For after hours issues, greeters will announce the move to the backup location as people arrive to work. E-mails and voice mails will also be distributed."
2,"Ladies, I will be out for a day of vacation"
3,"Ladies, I will be out for a day of vacation"
4,"Russell, Best wishes & much success on your new endeavor -- it was a pleasure working with you."
5,"Kay, The ""Financial Trading Database"" under Lotus Notes would be the definitive source regarding the Intercompany Master Agreements. Let me know if you want be conduct such search."
6,"Sara, Please advise if I may be of assistance -- I believe this request requires a lawyers attention."
7,"Bob, As mentioned in my voice mail -- I can meet with you anytime this afternoon -- how about 3:30pm."
8,"Bob, I will see you in your office @ 3:30pm"
9,"Diane or Patrick, Please email or provide hard copies of the Confirmation(s) ENA has with the captioned counterparty. Thanks Cordially, Susan S"
10,"Diane, Thanks for confirming that the trades were with ECTRIC and not ENA -- thats what I had thought. Yes-- please furnish copies of the confirms for the 2 deals to me. Thanks"
11,"Diane, As for the RMT matter the request is as follows: 1. Lives Deal as of November 30, 2001 2. Expired Deals since November 30, 2001 3. New Deals since November 30, 2001 Thanks for the help."
12,"Kay, Will deliver to you shortly."
13,"Diane, Please advise if there are any financial transactions between ENA & the captioned counterparty. Thanks Cordially,"
14,"Diane, My request was for the financial deals. But if you have access to the physical RMT/Intercompany -- I would like those too. "
15,"Diane, Please advise if the financial transactions with the captioned counterparty were confirmed with ENA or ECTRIC?? If the transactions were ONLY confirmed with ECTRIC -- were they confirmed under the ISDA dtd. 6/1/2000 with ECTRIC??? Thanks for the help. Cordially, "
16,"Paul, Both ENA and ECTRIC have a master agreement in place with Morgan Stanley Capital Group, Inc., as follows: 1. ENA's is Master Agreement dated effective as of June 16, 1992, and which has been amended over time. 2. ECTRIC's is an ISDA Master Agreement dated effective as of August 29, 1997. As for your inquiry concerning nettting agreements -- Morgan Stanley has no master netting arrangements with either ENA or ECTRIC. Hard copies of the aformentioned agreements will be faxed to you today. "
17,"Gerald or Stacy, Can one of you handle the request made below. I am not familar with your GISB documents. Thanks,"
18,"Richard, Per Sara'as request, please find attached a List of Master Agreements for Enron's Domestic Affiliates: Please be advised, this List was included in a binder of materials distributed to E&Y."
19,"Melissa, Set forth below is the list we discussed. First determine if there is a physical power relationship with each counterparty listed. If so, please furnish confirms or a listing that evidence the following requests: 1. Live Deals as of November 30, 2001 2. Expired Deals since November 30, 2001 3. New Deals since November 30, 2001 This request must be handled on an expedited, ASAP basis. Many thanks,"
20,"Patrick, Please furnish a hard copy of each of the swap confirmations for: Deal Nos. V48090.1 & V48242.1 These deals were referenced by the Counterparty. However, there may be additional confirmations for other financial transactions, therefore, please those confirmations as well (if any). Thank for all the help. Cordially,"
21,"Ellen, Please check to see if there are any ""live"" physical deals with the captioned counterparty. If so, please provide a hard copy of the confirmation(s) evidencing such deals. I wuld appreciate receipt of such confirmations by Wednesday, February 6th. Many thanks for all your help. Cordially, "
22,"Ellen, Yes, that is their actual name. I guess they have not done any physical deals. Many thanks,"
23,"Ellen, I have just found out that US Brick may also transact business under the name Tiffany Brick Company, L.P. So please conduct another search under that name. And if there are confirms, please furnish the hard copies to me. Thanks,"
24,"Guys, Also conduct the search under the name of Tiffany Brick Company, L.P. as we have just found out that the confirms may be under that name. Thanks."
25,"All, Attached is the most recent working list of the Confirmation Desk members which will be remain with the Enron Estate. Cordially, Susan S. Bailey Enron North America Corp. 1400 Smith Street, Suite 3803A Houston, Texas"
26,"Mary Nell & Ted, As discussed, attached is an individual ""Master Log"" for: (a) ECTRIC, (b) EFET/EEFTL, and (c) Enron Credit Limited/Enron Credit Inc. Each Master Log was based on Houston's Termination Log as of 2-11-02. In reviewing the respective Master Logs you will notice that: (a) the attached Master Logs include some of the same entries -- because the termination letter may have related to various Enron affiliates; (b) each of the attached Master Logs includes some counterparties also represented on the London Log entitled ""Schedule of Claims"" - because in many cases the Enron entity was not identified in the London Log; and (c) the following Tab Numbers (being the number that appears in the London Log) represent those counterparties which appear as a counterparty entry in one or more of the attached Master Logs and those counterparty entries on the London Log need to be identified with one or more of the attached Master Logs: Tab No. 1-3 5-8 14-16B 19 21& 22 27 &28 31-40 41 (Nordea Bank Finland Plc) 42 44 47-50 52-54 72 79-84 88-90 99 106 109 116 You are receiving all notices relating to the U.K. Enron entities and can update/maintain the attached Master Logs accordingly. Please let me or Sara know if you have any questions or need additional assistance. Cordially,"
27,"All, Set forth below is the list of the Non-Terminated Top Ten Counterparties, where Enron is In-The-Money. First determine where if applicable in your respective confirm worlds whether the appropriate Enron affiliate has a (i) physical gas, coal, steel, pulp & paper, lumber & etc.; (ii) financial power, gas, or other commodities (ie. weather, steel, coal, etc.), relationship with each of the counterparties listed. If so, please furnish confirms or a listing that evidence the following requests: 1. Live Deals as of November 30, 2001 2. Expired Deals since November 30, 2001 3. New Deals since November 30, 2001 This request must be handled on an expedited -- ASAP basis to be furnished by Monday, February 4th. Many thanks,"
28,"Diane, I too noted that BP Capital Energy Fund L.P. had terminated by mutual termination; however, include them on your list for the time being. Thanks. FYI: thanks for including Melissa -- I had sent her a separate email as we had spoken over the phone concerning the project request."
29,"Diane, I think its great that you asked Melissa -- it would be fine if your lists are intergrated, that would be great. Susan"
30,"Rhonda, Thanks for the reports. But I will need copies of the confirmations for any live deals relating to: Puget Sound Energy, Inc. Nevada Power Company TXU Energy Trading Company Virginia Electric & Power Co. Select Energy, Inc. Thanks. "
31,"Diane, As mentioned in my voice-mail, attached is the list of all Intercompany Financial Agreements. Some intercompany arrangements were entered into before the creation of RMT. Those agreements have been bolded for your convenience. You will need to search those for live confirmations as well: Cordially, "
32,"Kerri, As discussed, set forth below is the list of the Non-Terminated Top Ten Counterparties, where Enron is In-The-Money. First determine where if applicable in your respective confirm world whether the appropriate Enron affiliate has a (i) physical power, or (ii) financial power relationship with each of the counterparties listed. If so, please furnish a listing that evidences the following requests: 1. Live Deals as of November 30, 2001 2. Expired Deals since November 30, 2001 3. New Deals since November 30, 2001 Also, please furnish a hard copy of all live confirmations under request #1 above. I beleive that Melissa has already furnished the physical power confirms for those mentioned above. However, ask her if she has searched for financial power deals. If not we will need these for any of the above-mentioned. Many thanks,"
